	 Landwirtschaftliche Erzeugnisse	 Nahrungs- und Futtermittel	 Feste mineralische Brennstoffe	 Erdöl. Mineralölerzeugnisse	 Erzeugnisse Metallbau	 Eisen. Stahl. NE-Metalle	 Steine. Erden. Baustoffe	 Düngemittel	 Chemische Erzeugnisse	 Fahrzeuge. Maschinen. übrige Güter	Gesamt
2011	337.922	415.357	83.534	2215.518	31.689	438.21	530.701	124.136	373.55	163.135	4713.752
2012	306.095	454.242	104.066	3436.42	20.629	405.859	863.32	143.338	262.012	203.814	6199.795
2013	317.372	492.052	111.711	2992.663	43.061	349.418	818.317	125.326	261.132	221.549	5732.601
2014	302.404	460.027	28.462	2069.34	60.801	354.737	1002.562	129.234	235.929	234.016	4877.512
2015	268.837	450.466	65.035	2764.242	69.309	332.869	806.832	116.68	199.129	221.185	5294.584
2016	309.109	428.565	31.175	2438.441	31.717	289.068	784.55	124.993	201.327	223.873	4862.818
2017	234.137	409.937	37.815	2457.975	12.627	314.483	704.561	124.696	184.895	248.005	4729.131
2018	220.121	384.245	0.795	1736.805	19.126	185.614	727.678	102.737	150.995	240.329	3768.445
2019	197.564	392.18	18.452	2756.555	25.143	227.203	789.171	145.487	258.53	243.774	5054.059
2020	183.996719	364.428789	2.314709	2252.751212	37.139507	190.84467	737.676594	124.206948	150.259771	236.581309	4280.200228
2021	207.691334	385.382345	18.600613	2332.819372	69.829413	246.818459	697.152177	124.20845	135.019212	267.109698	4484.631073
