	 Landwirtschaftl. Erzeugnisse	 Nahrungs- und Futtermittel	 Feste mineralische Brennstoffe	 Erdöl, Mineralölerzeugnisse	 Erzeugnisse Metallbau	 Eisen, Stahl, NE-Metalle	 Steine, Erden, Baustoffe	 Düngemittel	 Chemische Erzeugnisse	 Fahrzeuge, Maschinen, übrige	Gesamt
2011	7.462	91.666	0	264.814	60.284	75.661	136.732	0.031	134.448	193.138	964.236
2012	12.654	69.152	0	152.38	71.587	109.032	204.972	0.016	123.069	267.891	1010.753
2013	18.087	74.717	0	311.074	89.238	70.541	137.954	0.039	146.476	248.957	1097.083
2014	25.319	68.403	0	247.516	80.862	72.11	191.548	0	147.29	271.53	1104.578
2015	32.585	62.097	0.022	281.117	62.932	52.361	177.069	0.002	128.644	242.425	1039.254
2016	36.304	89.767	0	211	75.568	41.058	141.256	1.311	144.951	292.47	1033.685
2017	50.012	90.733	0	160.235	84.248	41.952	179.437	0.207	159.551	294.648	1061.023
2018	44.707	74.179	0	65.168	71.643	58.128	242.435	0	120.981	252.295	929.536
2019	51.136	72.088	0	59.017	121.464	31.376	308.284	0.043	125.422	242.345	1011.175
2020	34.00341	85.570968	0.003036	22.606581	132.373464	18.990857	259.675881	0.07588	68.885747	224.39433	846.580154
2021	34.017432	88.425342	0	34.993668	88.580283	59.75542	303.285331	0.05106	54.189859	259.33678	922.635175
