Jahr	Schweiz	Frankreich	Deutschland	Niederlande	Belgien	Österreich	Luxemburg	Übrige
1964	4060.375	308.789	2014.93	1639.576	266.937	0	0	1.331
1965	4328.928	309.758	2085.274	1997.996	283.765	0	0	2.78
1966	4193.867	397.112	2198.287	1703.912	191.864	0	0	1.307
1967	4523.146	451.954	1741.785	1670.353	188.823	0	0	5.607
1968	4513.587	400.119	2044.671	1753.298	303.704	0	0	4.128
1969	4151.587	415.667	1883.797	1761.329	321.595	0	0	2.141
1970	3852.479	339.571	1354.891	1453.955	368.33	0	0	1.966
1971	4303.074	273.231	1163.305	1945.67	475.773	0	0	1.778
1972	4443.443	222.092	1354.857	2184.202	565.753	0	0	0.938
1973	3993.798	219.615	1181.439	2181.024	518.566	0	0	6.768
1974	3974.239	252.621	1132.533	2993.423	628.079	0	0	6.444
1975	3437.045	220.7	1037.567	3001.046	507.134	0	0	4.44
1976	3371.885	189.03	1202.178	3147.26	538.086	0	0	4.353
1977	2922.291	195.594	2012.471	3348.39	343.52	0	0	22.896
1978	2715.026	152.394	1956.794	3989.103	360.202	0	0	21.019
1979	2617.165	72.687	1625.288	3670.681	348.328	0	0	19.252
1980	2329.829	55.753	1558.893	4119.563	455.251	0	0	11.621
1981	2299.805	51.79	1398.023	4050.034	457.871	0	0	25.859
1982	2407.479	28.153	1112.02	4178.467	439.989	0	0	40.666
1983	2133.692	28.081	1202.213	4154.719	474.338	0	0	32.051
1984	1914.039	14.838	1047.634	3517.393	617.122	0	0	49.257
1985	1776.926	15.31	1249.476	3868.741	857.726	0	0	71.75
1986	2032.591	11.598	1029.156	3836.979	1045.366	0	0	153.057
1987	1843.992	11.93	991.787	3583.724	927.096	0	0	89.321
1988	2161.898	17.957	1262.387	4253.215	775.033	0	57.429	17.814
1989	1990.275	11.504	1482.308	3940.563	983.455	0	200.88	25.163
1990	1587.17	4.701	1855.595	3596.665	1016.601	0	175.107	18.794
1991	1306.108	15.652	1642.863	3178.574	871.316	0	141.539	14.736
1992	1253.682	15.027	1819.853	3194.069	877.469	0	77.734	7.795
1993	1245.752	11.487	1912.13	3071.159	937.932	0	28.227	54.175
1994	1173.067	11.861	1621.556	2839.154	1032.319	0	10.077	61.693
1995	1223.82	18.051	1584.097	3163.465	1057.497	0	5.976	55.324
1996	1270.147	94.012	1506.829	2996.468	1296.02	0	15.534	33.252
1997	1327.29	30.745	1479.233	2605.472	932.008	0	28.209	40.731
1998	1221.119	45.05	1219.797	2996	940.763	0	2.294	93.253
1999	877.702	48.621	1250.418	2750.883	718.706	0	13.47	18.188
2000	1641.557	46.637	1214.214	3212.793	970.903	0	11.63	112.814
2001	1425.985	46.512	1032.944	3384.941	883.066	0	51.533	4.703
2002	1349.063	71.823	870.813	2762.642	815.865	0	82.657	29.227
2003	1173.367	72.299	1229.089	2985.635	831.753	0	37.331	4.364
2004	1009.903	50.968	1098.007	2940.021	774.093	0	14.857	8.654
2005	919.503	10.013	971.245	3111.431	728.653	0	47.716	1.593
2006	752.623	7.502	700.399	2553.477	677.087	0	3.051	3.842
2007	781.205	10.988	1279.42	3290.056	656.614	0	32.849	14.102
2008	1270.147	94.012	1506.829	2996.468	1296.02	0	15.534	33.252
2009	1327.29	30.745	1479.233	2605.472	932.008	0	28.209	40.731
2010	1221.119	45.05	1219.797	2996	940.763	0	2.294	93.253
2011	877.702	48.621	1250.418	2750.883	718.706	0	13.47	18.188
2012	1641.557	46.637	1214.214	3212.793	970.903	0	11.63	112.814
2013	1425.985	46.512	1032.944	3384.941	883.066	0	51.533	4.703
2014	1349.063	71.823	870.813	2762.642	815.865	0	82.657	29.227
2015	1173.367	72.299	1229.089	2985.635	831.753	0	37.331	4.364
2016	1009.903	50.968	1098.007	2940.021	774.093	0	14.857	8.654
2017	919.503	10.013	971.245	3111.431	728.653	0	47.716	1.593
2018	752.623	7.502	700.399	2553.477	677.087	0	3.051	3.842
2019	781.205	10.988	1279.42	3290.056	656.614	0	32.849	14.102
