"Jahr"	"Endenergie total (GWh; 1995 = 100%)"	"kWh pro Franken BIP (1995 = 100%)"	"kWh pro Kopf (1995 = 100%)"	"Endenergie total"	"kWh pro Franken BIP"	"kWh pro Kopf"	"Mittlere Bevölkerung"
1995	100	100	100	5240	0.2749474807	26308.786834	199173.0000
2000	98.473282443	87.061984681	103.49601378	5160	0.2393747335	27228.545647	189507.0000
2004	96.08778626	72.549565634	101.36916382	5035	0.1994732029	26668.997225	188796.0000
2010	106.33853071	66.953904707	110.34230553	5572.1390093	0.1840880742	29029.72195	191946.0000
2012	99.69614343	61.547721315	102.9382062	5224.0779157	0.1692239092	27081.793239	192900.0000
2014	89.955499651	53.413542007	91.371677387	4713.6681817	0.1468591881	24038.77983	196086.0000
2016	89.806893198	48.618175298	90.372592514	4705.8812036	0.1336744481	23775.93272	197926.2500
2018	81.543228983	40.778219032	81.258832128	4272.8651987	0.1121186859	21378.212928	199870.0833
2020	79.102183977	39.982016164	78.178335141	4144.9544404	0.1099295462	20567.771542	201526.6667
2022	73.759029681	32.829900899	72.145157613	3864.9731553	0.0902649854	18980.515727	203628.4583
