"Jahr"	"W. gebaut"	"NW. gebaut"	"W. abgebrochen"	"NW. abgebrochen"	"Wohnen Saldo"	"Nichtwohnen Saldo"	"Total Saldo"
2012	84456	2081	-5765	-15393	78691	-13312	65379
2013	28184	75249	-14183	-4251	14001	70998	84999
2014	65363	48149	-7745	-35531	57618	12618	70236
2015	93447	42896	-25537	-15644	67910	27252	95162
2016	63947	207015	-15710	-69097	48237	137918	186155
2017	54317	86674	-6772	-24254	47545	62420	109965
2018	137206	54027	-19788	-57870	117418	-3843	113575
2019	194047	61409	-26867	-26042	167180	35367	202547
2020	118458	59198	-15435	-22438	103023	36760	139783
2021	79806	75415	-12990	-11693	66816	63722	130538
2022	126394	108054	-19333	-8678	107061	99376	206437
2023	96504	25016	-7580	-9449	88924	15567	104491
2024	22699	7380	-12749	-2184	9950	5196	15146
