Jahr	Anteil erneuerbare Energie	Zielpfad	Zielbereich	Zielbereich Obergrenze	Bewertung	1.5	2	3	4
2010	34.6								
2011									
2012	36.2								
2013									
2014	38								
2015									
2016	39.5								
2017									
2018	39.9								
2019		41.9	37.7	46.1		41.9	41.9	41.9	41.9
2020	43.9	43.6	39.5	47.7	0	42.5	42.1	41.9	41.9
2021		45.4	41.3	49.4		43.5	42.5	42.0	41.9
2022	43.9	47.2	43.2	51.1	1	44.9	43.1	42.1	42.0
2023		49.1	45.2	52.8		46.5	44.1	42.4	42.0
2024		51.0	47.3	54.7		48.2	45.3	42.9	42.2
2025		53.1	49.5	56.6		50.2	46.7	43.5	42.5
2026		55.2	51.8	58.5		52.4	48.5	44.5	42.9
2027		57.4	54.1	60.5		54.7	50.4	45.7	43.6
2028		59.7	56.6	62.6		57.2	52.7	47.3	44.6
2029		62.1	59.3	64.8		59.8	55.2	49.3	46.0
2030		64.6	62.0	67.0		62.5	58.0	51.8	47.9
2031		67.2	64.8	69.3		65.4	61.1	54.7	50.4
2032		69.9	67.8	71.7		68.4	64.4	58.2	53.7
2033		72.7	71.0	74.2		71.5	68.0	62.2	57.7
2034		75.6	74.2	76.8		74.7	71.8	66.9	62.7
2035		78.6	77.7	79.4		78.0	76.0	72.2	68.8
2036		81.7	81.3	82.2		81.5	80.3	78.2	76.2
2037		85.0	85.0	85.0		85.0	85.0	85.0	85.0
