	Basel-Stadt	Schweiz	Grün	Grün 2	Gelb	Gelb 2	Rot	Rot 2
1998	3.741	3.9	0	3.9	3.9	4.2	4.2	6
1999	2.47	2.697	0	2.697	2.697	2.997	2.997	6
2000	2.101	1.824	0	1.824	1.824	2.124	2.124	6
2001	2.162	1.702	0	1.702	1.702	2.002	2.002	6
2002	3.002	2.546	0	2.546	2.546	2.846	2.846	6
2003	4.261	3.691	0	3.691	3.691	3.991	3.991	6
2004	4.576	3.879	0	3.879	3.879	4.179	4.179	6
2005	4.062	3.763	0	3.763	3.763	4.063	4.063	6
2006	3.732	3.332	0	3.332	3.332	3.632	3.632	6
2007	3.238	2.766	0	2.766	2.766	3.066	3.066	6
2008	2.996	2.578	0	2.578	2.578	2.878	2.878	6
2009	3.797	3.702	0	3.702	3.702	4.002	4.002	6
2010	4.176	3.515	0	3.515	3.515	3.815	3.815	6
2011	3.652	2.843	0	2.843	2.843	3.143	3.143	6
2012	3.653	2.905	0	2.905	2.905	3.205	3.205	6
2013	3.726	3.157	0	3.157	3.157	3.457	3.457	6
2014	3.393	3.043	0	3.043	3.043	3.343	3.343	6
2015	3.653	3.177	0	3.177	3.177	3.477	3.477	6
2016	3.867	3.323	0	3.323	3.323	3.623	3.623	6
2017	3.604	3.186	0	3.186	3.186	3.486	3.486	6
2018	3.252	2.63	0	2.63	2.63	2.93	2.93	6
2019	2.978	2.307	0	2.307	2.307	2.607	2.607	6
2020	3.924	3.14	0	3.14	3.14	3.44	3.44	6
2021	3.861	2.968	0	2.968	2.968	3.268	3.268	6
