Jahr	Basel-Stadt	BS_geglaettet	Konfidenz von	Konfidenz bis
1998	78.2	78.1	77.6	78.9
1999	78.2	78.5	77.5	78.8
2000	79.0	78.8	78.4	79.6
2001	79.2	79.1	78.5	79.8
2002	79.7	79.4	79.1	80.2
2003	79.1	79.8	78.4	79.7
2004	80.3	80.1	79.7	81
2005	80.3	80.4	79.7	80.9
2006	81.0	80.8	80.4	81.5
2007	81.3	80.9	80.7	81.9
2008	80.7	81.1	80.1	81.4
2009	81.1	81.2	80.5	81.7
2010	81.3	81.3	80.7	81.9
2011	81.4	81.4	80.8	82.1
2012	81.6	81.5	81.0	82.2
2013	81.8	81.7	81.2	82.4
2014	81.5	81.9	81.0	82.1
2015	82.1	82.2	81.6	82.6
2016	82.8	82.4	82.3	83.4
2017	82.5	82.6	82.0	83
2018	82.8	82.7	82.3	83.3
2019	82.7	82.8	82.1	83.3
2020	82.5	82.8	82.0	83.1
2021	83.2	82.8	82.7	83.8
2022	82.3	82.8	81.7	82.9
2023	83.1	82.7	82.6	83.7
2024	82.6	82.7	82.1	83.2
