Jahr	Bevölkerungsdichte in Bauzonen	Bevölkerungsdichte in Bauzonen mit potentieller Wohnnutzung	Bevölkerungsdichte Kanton Basel-Stadt
2005	148.5	130.0	50.8
2006	148.4	130.0	50.8
2007	148.6	130.1	50.9
2008	149.8	131.0	51.3
2009	150.8	131.9	51.6
2010	151.0	132.0	51.6
2011	152.2	133.0	52.0
2012	152.4	133.8	52.3
2013	153.9	135.1	52.9
2014	154.1	135.7	53.2
2015	154.7	136.2	53.4
2016	155.4	136.9	55.2
2017	156.2	137.3	55.4
2018	157.2	138.1	55.8
2019	156.8	138.6	55.8
2020	158.1	139.8	56.3
2021	158.1	139.8	56.2
