""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.075181	203
"2014-02"	0.075181	203
"2014-03"	0.075181	197
"2014-04"	0.075181	199
"2014-05"	0.075181	187
"2014-06"	0.075181	180
"2014-07"	0.075181	171
"2014-08"	0.075181	171
"2014-09"	0.075181	166
"2014-10"	0.075181	168
"2014-11"	0.075181	172
"2014-12"	0.075181	193
"2015-01"	0.082256	205
"2015-02"	0.082256	201
"2015-03"	0.082256	211
"2015-04"	0.082256	209
"2015-05"	0.082256	203
"2015-06"	0.082256	201
"2015-07"	0.082256	196
"2015-08"	0.082256	188
"2015-09"	0.082256	189
"2015-10"	0.082256	191
"2015-11"	0.082256	200
"2015-12"	0.082256	224
"2016-01"	0.088924	229
"2016-02"	0.088924	243
"2016-03"	0.088924	223
"2016-04"	0.088924	223
"2016-05"	0.088924	221
"2016-06"	0.088924	217
"2016-07"	0.088924	201
"2016-08"	0.088924	195
"2016-09"	0.088924	203
"2016-10"	0.088924	205
"2016-11"	0.088924	225
"2016-12"	0.088924	229
"2017-01"	0.078140	222
"2017-02"	0.078140	222
"2017-03"	0.078140	212
"2017-04"	0.078140	202
"2017-05"	0.078140	184
"2017-06"	0.078140	182
"2017-07"	0.078140	180
"2017-08"	0.078140	175
"2017-09"	0.078140	176
"2017-10"	0.078140	186
"2017-11"	0.078140	178
"2017-12"	0.078140	178
"2018-01"	0.071507	184
"2018-02"	0.071507	176
"2018-03"	0.071507	208
"2018-04"	0.071507	206
"2018-05"	0.071507	186
"2018-06"	0.071507	186
"2018-07"	0.071507	167
"2018-08"	0.071507	169
"2018-09"	0.071507	154
"2018-10"	0.071507	149
"2018-11"	0.071507	156
"2018-12"	0.071507	161
"2019-01"	0.064669	171
"2019-02"	0.064669	170
"2019-03"	0.064669	174
"2019-04"	0.064669	170
"2019-05"	0.064669	168
"2019-06"	0.064669	156
"2019-07"	0.064669	136
"2019-08"	0.064669	137
"2019-09"	0.064669	140
"2019-10"	0.064669	147
"2019-11"	0.064669	162
"2019-12"	0.064669	170
"2020-01"	0.085454	168
"2020-02"	0.085454	162
"2020-03"	0.085454	187
"2020-04"	0.085454	212
"2020-05"	0.085454	223
"2020-06"	0.085454	219
"2020-07"	0.085454	205
"2020-08"	0.085454	214
"2020-09"	0.085454	224
"2020-10"	0.085454	224
"2020-11"	0.085454	234
"2020-12"	0.085454	240
"2021-01"	0.094299	257
"2021-02"	0.094299	248
"2021-03"	0.094299	239
"2021-04"	0.094299	252
"2021-05"	0.094299	254
"2021-06"	0.094299	243
"2021-07"	0.094299	230
"2021-08"	0.094299	226
"2021-09"	0.094299	204
"2021-10"	0.094299	208
"2021-11"	0.094299	205
"2021-12"	0.094299	206
"2022-01"	0.081644	220
"2022-02"	0.081644	228
"2022-03"	0.081644	208
"2022-04"	0.081644	212
"2022-05"	0.081644	205
"2022-06"	0.081644	198
"2022-07"	0.081644	190
"2022-08"	0.081644	194
"2022-09"	0.081644	189
"2022-10"	0.081644	192
"2022-11"	0.081644	184
"2022-12"	0.081644	180
"2023-01"	0.071132	190
"2023-02"	0.071132	186
"2023-03"	0.071132	174
"2023-04"	0.071132	167
"2023-05"	0.071132	170
"2023-06"	0.071132	171
"2023-07"	0.071132	171
"2023-08"	0.071132	173
"2023-09"	0.071132	168
"2023-10"	0.071132	169
"2023-11"	0.071132	170
"2023-12"	0.071132	182

