""	"Zuwanderung Erwerbstätige Freizeit und Unterhaltung (rechte Skala)"	"Bestand Grenzgänger Kunst, Unterhaltung und Erholung"	"Bestand Meldepflichtige in VZÄ Kirche, Kultur, Sport, Unterhaltung"
"2014-01"	20	318	42
"2014-02"	22	295	90
"2014-03"	39	269	52
"2014-04"	20	280	88
"2015-01"	114	289	55
"2015-02"	46	302	55
"2015-03"	92	308	39
"2015-04"	23	308	119
"2016-01"	27	332	72
"2016-02"	33	288	93
"2016-03"	45	299	39
"2016-04"	31	297	85
"2017-01"	19	301	70
"2017-02"	33	309	56
"2017-03"	40	309	51
"2017-04"	25	296	103
"2018-01"	9	282	53
"2018-02"	29	284	59
"2018-03"	46	295	62
"2018-04"	18	289	121
"2019-01"	21	266	66
"2019-02"	26	278	69
"2019-03"	48	297	45
"2019-04"	18	305	120
"2020-01"	24	311	63
"2020-02"	17	303	24
"2020-03"	49	326	31
"2020-04"	10	340	60
"2021-01"	18	308	30
"2021-02"	19	350	47
"2021-03"	35	361	52
"2021-04"	25	350	70
"2022-01"	28	354	59
"2022-02"	32	355	64
"2022-03"	52	373	44
"2022-04"	31	374	105
"2023-01"	34	378	42
"2023-02"	56	393	51
"2023-03"	76	392	52
"2023-04"	40	""	88

