""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger sonst. wirtsch. DL"	"Bestand Meldepflichtige in VZÄ"
"2010-01"	"."	"."	40
"2010-02"	"."	"."	6
"2010-03"	"."	"."	18
"2010-04"	"."	"."	14
"2011-01"	"."	"."	59
"2011-02"	"."	"."	39
"2011-03"	"."	"."	37
"2011-04"	"."	"."	31
"2012-01"	"."	"."	72
"2012-02"	"."	"."	30
"2012-03"	"."	"."	31
"2012-04"	"."	"."	31
"2013-01"	"."	"."	27
"2013-02"	"."	"."	119
"2013-03"	"."	"."	53
"2013-04"	"."	"."	57
"2014-01"	"."	"."	102
"2014-02"	"."	"."	84
"2014-03"	"."	"."	55
"2014-04"	"."	"."	22
"2015-01"	"."	"."	114
"2015-02"	"."	"."	37
"2015-03"	"."	"."	40
"2015-04"	"."	"."	23
"2016-01"	"."	1960	144
"2016-02"	"."	2044	21
"2016-03"	"."	2063	58
"2016-04"	"."	2103	40
"2017-01"	"."	2063	135
"2017-02"	"."	4294	19
"2017-03"	"."	4718	44
"2017-04"	"."	4562	21
"2018-01"	"."	2301	123
"2018-02"	"."	4692	29
"2018-03"	"."	4724	37
"2018-04"	2	4793	12
"2019-01"	"."	4833	74
"2019-02"	"."	4881	22
"2019-03"	"."	4820	33
"2019-04"	"."	5137	23
"2020-01"	"."	5007	16
"2020-02"	"."	4966	37
"2020-03"	"."	5162	30
"2020-04"	"."	5128	24
"2021-01"	"."	5063	11
"2021-02"	"."	4972	12
"2021-03"	"."	5109	27
"2021-04"	"."	5206	18
"2022-01"	1	2661	21
"2022-02"	"."	5413	49
"2022-03"	"."	5364	78
"2022-04"	"."	5485	38
"2023-01"	"."	5474	32
"2023-02"	"."	5708	46
"2023-03"	"."	5952	60
"2023-04"	"."	5783	50
"2024-01"	2	5812	38
"2024-02"	"."	5998	47
"2024-03"	2	6067	65
"2024-04"	"."	6123	26
"2025-01"	"."	6102	30
"2025-02"	"."	6335	35
"2025-03"	"."	6346	38
"2025-04"	2	"."	36

