Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	17	4.3147208122
02	Vorstädte	18	3.8961038961
03	Am Ring	57	5.0308914387
04	Breite	57	8.6626139818
05	St. Alban	171	15.066079295
06	Gundeldingen	134	9.5441595442
07	Bruderholz	302	14.346793349
08	Bachletten	332	13.360160966
09	Gotthelf	61	6.3016528926
10	Iselin	57	3.9310344828
11	St. Johann	39	2.5930851064
12	Altstadt Kleinbasel	12	4.6875
13	Clara	12	5.2401746725
14	Wettstein	57	8.1896551724
15	Hirzbrunnen	138	8.7231352718
16	Rosental	17	5.4838709677
17	Matthäus	40	3.5118525022
18	Klybeck	14	3.2710280374
19	Kleinhüningen	12	7.5471698113
20	Riehen	446	10.518867925
30	Bettingen	68	21.451104101
