Publikationsjahr	Indikator_Nr	jahr_num	jahr_char	Wert	Indikator_Name	Wohnviertel_id	Wohnviertel	Rang
2017	1	2016	2016	0.0192458759	Sozialhilfeanteil	1	Altstadt Grossbasel	3
2017	2	2016	2016	0.2706205813	Auslaenderanteil	1	Altstadt Grossbasel	6
2017	3	2016	2016	0.5161036921	Anteilkonfessionslose	1	Altstadt Grossbasel	18
2017	4	2016	2016	0.3013100437	Anteileinpersonenhaushalte	1	Altstadt Grossbasel	19
2017	5	2016	2016	0.8235294118	Gymnasialquote	1	Altstadt Grossbasel	21
2017	6	2016	2016	0.2827663134	Altersquotient	1	Altstadt Grossbasel	9
2017	7	2016	2016	0.3153967007	Anteilsesshafte	1	Altstadt Grossbasel	7
2017	8	2016	2016	0.1372002231	Jugendquotient	1	Altstadt Grossbasel	1
2017	9	2016	2016	1822.5777778	Baujahrwohngebaeude	1	Altstadt Grossbasel	1
2017	10	2016	2016	0.103030303	Anteileinfamilienhaeuser	1	Altstadt Grossbasel	8
2017	11	2016	2016	0.067261875	Gruenflaechenanteil	1	Altstadt Grossbasel	1
2017	12	2016	2016	90.238128987	Flaecheprowohnung	1	Altstadt Grossbasel	16
2017	14	2014	Steuerjahr 2014	5343.1955206	Vermoegenssteuer	1	Altstadt Grossbasel	19
2017	15	2014	Steuerjahr 2014	16397.193099	Einkommenssteuer	1	Altstadt Grossbasel	19
2017	16		2011-2015	0.8330483229	Erwerbstaetigenquote	1	Altstadt Grossbasel	21
2017	17	2014	2014	4.595664635	Arbeitsplaetzeprokopf	1	Altstadt Grossbasel	21
2017	18	2016	2016	0.0257474605	Arbeitslosenquote	1	Altstadt Grossbasel	6
