Haushaltstyp	Mittlere Wohnfläche	Mittlere Wohnfläche	Mittlere Wohnfläche
Einpersonenhaushalte	66.49
Familienhaushalte	32.48
Verheiratete/registrierte Paare ohne Kinder		46.19
Paare mit minderjährigen Kindern		25.37
Verheiratete Paare mit Kindern			25.16
Unverheiratete Paare mit Kindern			26.94
Einelternhaushalte mit minderj. Kindern		29.29
Ohne weitere Personen			32.6
Mit Grosseltern(-teil)			23.6
Mit weiteren Personen			24.71
Eltern(-teil) mit nur volljährigen Kindern		32.81
Nichtfamilienhaushalte	36.03
