Alter	Frauen 	Männer
0	676	881
1	209	265
2	121	156
3	107	130
4	92	129
5	88	145
6	91	120
7	74	104
8	55	107
9	87	109
10	92	102
11	93	111
12	101	123
13	105	132
14	138	118
15	178	126
16	159	121
17	134	129
18	162	140
19	143	133
20	136	139
21	186	123
22	171	116
23	221	122
24	233	147
25	317	155
26	314	126
27	367	147
28	390	152
29	460	149
30	482	164
31	546	188
32	559	182
33	560	160
34	588	179
35	579	192
36	511	173
37	421	194
38	395	202
39	391	212
40	348	206
41	294	200
42	283	218
43	276	201
44	300	223
45	266	249
46	279	271
47	302	319
48	315	293
49	319	316
50	363	372
51	390	364
52	405	377
53	385	393
54	354	402
55	398	421
56	373	450
57	379	463
58	383	460
59	371	470
60	392	456
61	384	476
62	374	413
63	401	473
64	407	476
65	391	509
66	425	481
67	452	502
68	471	497
69	475	513
70	477	530
71	506	545
72	542	540
73	523	558
74	549	531
75	595	542
76	518	496
77	552	511
78	608	488
79	573	523
80	623	495
81	581	491
82	588	509
83	566	471
84	608	441
85	566	407
86	540	388
87	513	332
88	447	320
89	434	236
90	374	182
91	357	171
92	245	125
93	233	104
94	172	83
95	127	73
96	84	47
97	36	25
98	27	10
99	18	7
100	32	14
