""	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
"1999-1"	3997	1281	1488	464
"1999-2"	3995	1254	1471	449
"1999-3"	4009	1280	1512	429
"1999-4"	4009	1312	1504	487
"2000-1"	4001	1317	1576	448
"2000-2"	4086	1359	1573	448
"2000-3"	4087	1339	1584	497
"2000-4"	4071	1365	1597	473
"2001-1"	4082	1385	1593	530
"2001-2"	4147	1390	1575	600
"2001-3"	4243	1400	1581	627
"2001-4"	4294	1435	1583	612
"2002-1"	4315	1485	1614	580
"2002-2"	4315	1453	1645	592
"2002-3"	4363	1523	1589	567
"2002-4"	4371	1467	1600	566
"2003-1"	4318	1532	1579	530
"2003-2"	4320	1565	1572	534
"2003-3"	4292	1571	1590	551
"2003-4"	4289	1546	1605	557
"2004-1"	4279	1581	1638	595
"2004-2"	4404	1653	1749	593
"2004-3"	4236	1649	1597	518
"2004-4"	4186	1609	1556	488
"2005-1"	4160	1598	1538	544
"2005-2"	4061	1584	1458	507
"2005-3"	3887	1574	1349	492
"2005-4"	3899	1583	1351	512
"2006-1"	3851	1580	1329	499
"2006-2"	3879	1599	1333	528
"2006-3"	3921	1665	1383	516
"2006-4"	3972	1684	1419	545
"2007-1"	3853	1701	1414	537
"2007-2"	3824	1727	1427	590
"2007-3"	3853	1701	1407	611
"2007-4"	3803	1684	1342	614
"2008-1"	3741	1689	1307	649
"2008-2"	3858	1655	1299	631
"2008-3"	3758	1592	1219	575
"2008-4"	3723	1621	1171	581
"2009-1"	3750	1561	1176	652
"2009-2"	3898	1578	1201	659
"2009-3"	3925	1572	1193	683
"2009-4"	3975	1548	1201	657
"2010-1"	4047	1598	1240	727
"2010-2"	4126	1595	1268	725
"2010-3"	4079	1611	1225	770
"2010-4"	4008	1493	1291	687
"2011-1"	4007	1391	1247	732
"2011-2"	4009	1369	1249	752
"2011-3"	4054	1416	1232	806
"2011-4"	3996	1469	1249	786
"2012-1"	3991	1491	1215	826
"2012-2"	3872	1540	1217	878
"2012-3"	3750	1487	1185	984
"2012-4"	3688	1432	1145	972
"2013-1"	3546	1362	1128	992
"2013-2"	3515	1348	1116	997
"2013-3"	3525	1362	1109	980
"2013-4"	3527	1332	1079	1068
"2014-1"	3519	1318	1082	1115
"2014-2"	3523	1309	1105	1060
"2014-3"	3530	1304	1099	1098
"2014-4"	3530	1261	1086	1101
"2015-1"	3508	1295	1077	1126
"2015-2"	3492	1286	1075	1154
"2015-3"	3494	1298	1083	1251
"2015-4"	3492	1311	1076	1241
"2016-1"	3402	1294	1089	1310
"2016-2"	3380	1218	1079	1250
"2016-3"	3393	1221	1060	1282
"2016-4"	3393	1167	1066	1301
"2017-1"	3341	1176	1052	1263
"2017-2"	3326	1151	1013	1319
"2017-3"	3256	1140	1009	1364
"2017-4"	3224	1116	1001	1374
"2018-1"	3138	1078	972	1312

