""	"Bestand Grenzgänger Sonstige wirtsch. DL"	"Bestand Meldepflichtige in VZÄ"
"2010-01"	1070	4
"2010-02"	1156	0
"2010-03"	1168	0
"2010-04"	1115	4
"2011-01"	1111	7
"2011-02"	1221	2
"2011-03"	1202	1
"2011-04"	1279	1
"2012-01"	1294	12
"2012-02"	1348	3
"2012-03"	1478	1
"2012-04"	1481	2
"2013-01"	1524	3
"2013-02"	1607	9
"2013-03"	1613	1
"2013-04"	1659	1
"2014-01"	1652	23
"2014-02"	1716	5
"2014-03"	1803	1
"2014-04"	1797	7
"2015-01"	1753	27
"2015-02"	1878	2
"2015-03"	1990	1
"2015-04"	2035	3
"2016-01"	1958	21
"2016-02"	2039	3
"2016-03"	2063	1
"2016-04"	2099	2
"2017-01"	2119	22
"2017-02"	2190	2
"2017-03"	2377	0
"2017-04"	2343	2
"2018-01"	2345	7
"2018-02"	2368	2
"2018-03"	2374	3
"2018-04"	2439	5

