""	"Zuwanderung ET (rechte Skala)"	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2010-01"	31	2462	5
"2010-02"	33	2482	5
"2010-03"	31	2455	15
"2010-04"	20	2504	19
"2011-01"	22	2498	9
"2011-02"	21	2550	9
"2011-03"	27	2551	8
"2011-04"	26	2483	15
"2012-01"	19	2507	6
"2012-02"	21	2405	6
"2012-03"	28	2324	8
"2012-04"	25	2257	14
"2013-01"	37	2095	7
"2013-02"	21	2081	7
"2013-03"	19	2090	9
"2013-04"	26	2076	15
"2014-01"	20	2051	12
"2014-02"	29	2022	10
"2014-03"	22	2029	10
"2014-04"	33	2010	16
"2015-01"	29	1992	13
"2015-02"	29	1992	9
"2015-03"	28	1988	17
"2015-04"	23	2004	21
"2016-01"	35	1964	18
"2016-02"	34	1945	14
"2016-03"	47	1952	15
"2016-04"	32	1946	22
"2017-01"	32	1862	17
"2017-02"	37	1874	16
"2017-03"	36	1841	14
"2017-04"	25	1836	21
"2018-01"	35	1797	13
"2018-02"	19	1752	14
"2018-03"	30	1731	13
"2018-04"	27	""	23

