""	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2010-01"	923	6
"2010-02"	991	6
"2010-03"	1003	6
"2010-04"	953	11
"2011-01"	972	12
"2011-02"	997	11
"2011-03"	1063	10
"2011-04"	1067	7
"2012-01"	1149	12
"2012-02"	1138	11
"2012-03"	1257	9
"2012-04"	1388	13
"2013-01"	1475	12
"2013-02"	1436	14
"2013-03"	1534	11
"2013-04"	1521	9
"2014-01"	1476	20
"2014-02"	1603	15
"2014-03"	1675	19
"2014-04"	1677	18
"2015-01"	1664	29
"2015-02"	1730	24
"2015-03"	1825	19
"2015-04"	1834	21
"2016-01"	1871	39
"2016-02"	1971	20
"2016-03"	1951	15
"2016-04"	2031	15
"2017-01"	2102	21
"2017-02"	2104	18
"2017-03"	2144	11
"2017-04"	2179	9
"2018-01"	2272	19
"2018-02"	2221	17
"2018-03"	2205	14
"2018-04"	""	11

