"Wohnviertel_ID"	"Wohnviertel_Name"	"Wohnungen pro Hektar"	"Anzahl Wohnungen"
1	01	38.041795022	1435
2	02	37.855904129	3414
3	03	68.582255427	6268
4	04	77.355712432	5308
5	05	20.935417761	6237
6	06	95.7409937	11153
7	07	16.924737057	4384
8	08	47.318012625	7236
9	09	84.639703927	4124
10	10	88.615475221	9678
11	11	44.728975631	10077
12	12	62.486027374	1549
13	13	102.14678934	2364
14	14	43.11322232	3259
15	15	15.129383104	4686
16	16	55.535385817	3519
17	17	148.58563537	8848
18	18	40.718606134	3747
19	19	10.073575888	1361
20	20	9.5209551402	10340
30	30	2.2586245342	503
