"Wohnviertel_ID"	"Wohnviertel_Name"	"Mittelwert pro Veranlagung in Fr."
1	Altstadt Grossbasel	98117.214925
2	Vorstädte	99422.367455
3	Am Ring	75840.576053
4	Breite	56292.447334
5	St. Alban	100470.28886
6	Gundeldingen	55574.930075
7	Bruderholz	115297.70598
8	Bachletten	77778.003451
9	Gotthelf	63531.670722
10	Iselin	51788.317589
11	St. Johann	52273.310721
12	Altstadt Kleinbasel	61193.312972
13	Clara	49702.043068
14	Wettstein	73498.166425
15	Hirzbrunnen	59376.411798
16	Rosental	51788.112729
17	Matthäus	50044.002319
18	Klybeck	42281.493525
19	Kleinhüningen	45954.523306
20	Riehen	90865.3959
30	Bettingen	122318.51752
