"Wohnviertel_ID"	"Wohnviertel_Name"	"Arbeitsstätten pro 100 Einwohner"	"Anzahl Arbeitsstätten"
1	Altstadt Grossbasel	63.927125506	1579
2	Vorstädte	40.612327656	2003
3	Am Ring	14.207855666	1512
4	Breite	4.2721518987	378
5	St. Alban	16.820973508	1835
6	Gundeldingen	8.3032873807	1566
7	Bruderholz	5.0744622173	460
8	Bachletten	6.6661750608	904
9	Gotthelf	7.1480777664	489
10	Iselin	4.0983606557	680
11	St. Johann	6.2785752259	1181
12	Altstadt Kleinbasel	22.094455852	538
13	Clara	10.151402333	409
14	Wettstein	7.84733369	440
15	Hirzbrunnen	3.5206574856	317
16	Rosental	4.8598736433	300
17	Matthäus	6.486519911	1049
18	Klybeck	4.7795632468	348
19	Kleinhüningen	11.482758621	333
20	Riehen	4.8157554267	1005
30	Bettingen	4.4019933555	53
