"Wohnviertel_ID Wohnviertel_Name"		"Seit mindestens 10 Jahren an der gleichen Adresse lebende Personen in %"
"1"	"Altstadt Grossbasel"	31.7
"2"	"Vorstädte"	27.8
"3"	"Am Ring"	30.5
"4"	"Breite"	34.7
"5"	"St. Alban"	33.7
"6"	"Gundeldingen"	32.0
"7"	"Bruderholz"	43.1
"8"	"Bachletten"	42.3
"9"	"Gotthelf"	35.5
"10"	"Iselin"	33.1
"11"	"St. Johann"	32.2
"12"	"Altstadt Kleinbasel"	27.3
"13"	"Clara"	31.6
"14"	"Wettstein"	36.4
"15"	"Hirzbrunnen"	39.8
"16"	"Rosental"	20.9
"17"	"Matthäus"	29.9
"18"	"Klybeck"	34.2
"19"	"Kleinhüningen"	35.2
"20"	"Riehen"	42.8
"30"	"Bettingen"	42.7

