"Wohnvierrtel_ID Wohnviertel_Name"		"Anteil unter 20-Jährige in %"	"Anzahl unter 20-Jährige"
"1"	"Altstadt Grossbasel"	11.08	241
"2"	"Vorstädte"	11.23	563
"3"	"Am Ring"	13.75	1482
"4"	"Breite"	14.34	1277
"5"	"St. Alban"	16.63	1856
"6"	"Gundeldingen"	14.34	2698
"7"	"Bruderholz"	21.35	1974
"8"	"Bachletten"	17.71	2395
"9"	"Gotthelf"	15.95	1100
"10"	"Iselin"	17.15	2889
"11"	"St. Johann"	17.13	3153
"12"	"Altstadt Kleinbasel"	10.63	262
"13"	"Clara"	12.34	502
"14"	"Wettstein"	14.23	787
"15"	"Hirzbrunnen"	19.34	1802
"16"	"Rosental"	19.54	1290
"17"	"Matthäus"	15.62	2469
"18"	"Klybeck"	19.52	1416
"19"	"Kleinhüningen"	19.87	565
"20"	"Riehen"	20.10	4288
"30"	"Bettingen"	18.05	215

