"Wohnviertel_ID"	"Wohnviertel_Name"	"Beschäftigte pro 100 Einwohner"	"Anzahl Beschäftigte"
1	"Altstadt Grossbasel"	584.73684	14443
2	"Vorstädte"	569.99189	28112
3	"Am Ring"	132.14621	14063
4	"Breite"	17.506781	1549
5	"St. Alban"	281.58401	30718
6	"Gundeldingen"	74.888653	14124
7	"Bruderholz"	19.84556	1799
8	"Bachletten"	30.101025	4082
9	"Gotthelf"	38.503143	2634
10	"Iselin"	21.076422	3497
11	"St. Johann"	111.94046	21056
12	"Altstadt Kleinbasel"	217.90554	5306
13	"Clara"	87.689253	3533
14	"Wettstein"	215.98002	12110
15	"Hirzbrunnen"	41.792537	3763
16	"Rosental"	101.18257	6246
17	"Matthäus"	24.412565	3948
18	"Klybeck"	88.064826	6412
19	"Kleinhüningen"	270	7830
20	"Riehen"	23.973358	5003
30	"Bettingen"	43.604651	525

