"jahr_wv"	"Erdgas"	"Heizöl"	"Fernwärme"	"Anderer/Kein Energieträger"
2020: Pestalozzi	29	7	276	21
2020: Lysbüchel	46	13	101	74
2020: Landskron	40	13	381	33
2020: Kannenfeld	14	11	215	11
2020: Friedmatt	126	33	406	110
2021: Pestalozzi	27	6	279	21
2021: Lysbüchel	47	12	103	75
2021: Landskron	40	12	383	33
2021: Kannenfeld	13	10	217	11
2021: Friedmatt	126	29	410	111
2022: Pestalozzi	26	5	279	22
2022: Lysbüchel	46	12	110	79
2022: Landskron	39	12	386	32
2022: Kannenfeld	16	11	212	11
2022: Friedmatt	120	24	421	112
2023: Pestalozzi	26	5	279	22
2023: Lysbüchel	46	12	110	78
2023: Landskron	39	12	385	32
2023: Kannenfeld	13	10	215	12
2023: Friedmatt	115	21	424	116
