Jahr	 Einkommens- und Vermögenssteuern (NP)	 Gewinn- und Kapitalsteuern (JP)	 Entgelte	 Transferertrag	 Finanzertrag	 Übriges	 Anteil NP (rechte Skala)	 Anteil JP (rechte Skala)
2006	1460100000	712700000	998700000		237800000	570500000	36.7	17.9
2007	1513400000	781600000	1050000000		271900000	1643200000	28.8	14.9
2008	1556900000	935200000	1108300000		358400000	787300000	32.8	19.7
2009	1511000000	700600000	1100900000		290400000	750500000	34.7	16.1
2010	1751400000	770800000	1451800000		236000000	731600000	35.4	15.6
2011	1689400000	733400000	1153300000		265200000	788500000	36.5	15.8
2012	1577548932	638246802	387700000	500000000	301400000	384904266	41.6	16.8
2013	1474568701	677819399	419000000	530500000	384900000	377611900	38.2	17.5
2014	1553200000	696700000	502200000	561100000	395200000	408900000	37.7	16.9
2015	1755300000	734700000	401100000	599400000	452100000	372200000	40.7	17
