	 Mittelwert 2006	 Mittelwert KTBS 2006	 Mittelwert 2015	 Mittelwert KTBS 2015
Altstadt GB	80261	62274	98117	68248
Vorstädte 	91269	62274	99422	68248
Am Ring 	64923	62274	75841	68248
Breite 	52630	62274	56292	68248
St. Alban 	87537	62274	100470	68248
Gundeldingen 	50613	62274	55575	68248
Bruderholz 	95915	62274	115298	68248
Bachletten 	71293	62274	77778	68248
Gotthelf 	61449	62274	63532	68248
Iselin 	50101	62274	51788	68248
St. Johann 	48257	62274	52273	68248
Altstadt KB	55577	62274	61193	68248
Clara 	45593	62274	49702	68248
Wettstein 	62158	62274	73498	68248
Hirzbrunnen 	55735	62274	59376	68248
Rosental 	44101	62274	51788	68248
Matthäus 	46961	62274	50044	68248
Klybeck 	44672	62274	42281	68248
Kleinhüning. 	45554	62274	45955	68248
Riehen 	84661	62274	90865	68248
Bettingen	86541	62274	122319	68248
