	 Median 2006	 Median Kanton 2006	 Median 2015	 Median Kanton 2015
Altstadt GB	51677	48536	51000	49142
Vorstädte 	51163	48536	58511	49142
Am Ring 	49347	48536	52788	49142
Breite 	47499	48536	47242	49142
St. Alban 	58126	48536	61125	49142
Gundeldingen 	45508	48536	47248	49142
Bruderholz 	63802	48536	65114	49142
Bachletten 	56566	48536	57698	49142
Gotthelf 	48593	48536	50790	49142
Iselin 	45705	48536	44777	49142
St. Johann 	42228	48536	41997	49142
Altstadt KB	40744	48536	42122	49142
Clara 	40013	48536	40433	49142
Wettstein 	51665	48536	54256	49142
Hirzbrunnen 	48833	48536	51368	49142
Rosental 	39838	48536	42854	49142
Matthäus 	39450	48536	38545	49142
Klybeck 	41871	48536	37400	49142
Kleinhüning. 	41857	48536	41403	49142
Riehen 	62734	48536	63689	49142
Bettingen	65820	48536	68594	49142
