Jahr	 Ertrag Grundstücksteuer	 Ertrag aus Kapitalsteuer	 Ertrag aus Gewinnsteuer	 Veranlagungen (rechte Skala)
2005	22 455 019	130 786 769	639 379 433	9 802
2006	23 063 839	127 051 351	662 809 438	9 885
2007	23 901 841	131 526 059	790 091 445	10 051
2008	15 669 900	130 144 479	603 782 261	10 179
2009	12 701 128	131 231 240	626 110 994	10 075
2010	13 871 865	129 712 441	530 571 499	10 335
2011	15 450 187	116 370 771	449 178 880	10 541
2012	16 666 516	108 317 154	509 340 739	10 803
2013	16 959 954	133 050 144	544 278 335	10 782
2014	17 418 000	134 545 000	542 697 000	10 959
