Jahr	Zuzug_Unbekannt	Zuzug_Schweiz. Agglomeration Basel	Zuzug_Übrige Schweiz	Zuzug_Ausland	Weggezogene_Unbekannt	Weggezogene_Schweiz. Agglomeration Basel	Weggezogene_Übrige Schweiz	Weggezogene_Ausland	 Saldo
2007	132	2666	2929	6965	-897	-4181	-3114	-3941	559
2008	155	2987	3238	7789	-1160	-4052	-3057	-3866	2034
2009	189	2802	3049	7432	-1023	-4024	-2915	-3844	1666
2010	179	2846	3082	7482	-2599	-3738	-2912	-4077	263
2011	178	2996	3135	8016	-1406	-4083	-2837	-4331	1668
2012	215	2967	3003	7994	-1525	-3856	-2774	-4286	1738
2013	99	2961	3223	8953	-1600	-4149	-2901	-4687	1899
2014	17	2695	2936	7872	-1215	-4049	-2859	-4604	793
2015	44	3009	3199	8027	-1372	-4261	-3001	-4933	712
2016	31	3101	3426	8291	-1425	-4483	-3035	-5004	902
